Recommendation Details for test set using full profile and 100 features				
userId	movieId	popularity	avgRating	title
42273	[151989]	[1]	[ 5.]	['The Thorn (1971)']
42273	[159467]	[3]	[ 3.66667]	['Fifi Howls from Happiness (2013)']
42273	[129223]	[1]	[ 5.]	"[""Tarzan's Savage Fury (1952)""]"
42273	[169820]	[1]	[ 5.]	['To Be the Best (1993)']
42273	[122535]	[1]	[ 5.]	['White Tiger (1996)']
42273	[169818]	[1]	[ 5.]	['FB: Fighting Beat (2007)']
42273	[159471]	[1]	[ 5.]	"[""Evening's Civil Twilight in Empires of Tin (2008)""]"
42273	[160030]	[1]	[ 5.]	['Goliath and the Sins of Babylon (1963)']
42273	[159123]	[1]	[ 5.]	['Catching Out (2003)']
42273	[145620]	[1]	[ 5.]	['Samson and the Seven Miracles of the World (1961)']
42273	[159125]	[1]	[ 5.]	"[""Anybody's Son Will Do""]"
42273	[160028]	[1]	[ 5.]	['Colossus of the Arena (1962)']
42273	[146487]	[1]	[ 5.]	['Maciste in Hell of Genghis Khan (1964)']
42273	[169816]	[1]	[ 5.]	['Day of the Panther (1988)']
42273	[146489]	[1]	[ 5.]	['Hercules Against the Mongols (1963)']
42273	[133013]	[1]	[ 5.]	['Temple of the White Elephant (1964)']
42273	[110108]	[1]	[ 5.]	['Asphalt Playground (La cit\xc3\xa9 rose) (2012)']
42273	[159133]	[3]	[ 2.83333]	['Visions of Frank (2007)']
42273	[147966]	[1]	[ 5.]	"[""Tarzan's Fight for Life (1958)""]"
42273	[159135]	[1]	[ 5.]	['The Viking (1931)']
42577	[151989]	[1]	[ 5.]	['The Thorn (1971)']
42577	[183013]	[2]	[ 3.5]	['I Can No Longer Hear the Guitar (1991)']
42577	[129223]	[1]	[ 5.]	"[""Tarzan's Savage Fury (1952)""]"
42577	[169820]	[1]	[ 5.]	['To Be the Best (1993)']
42577	[122535]	[1]	[ 5.]	['White Tiger (1996)']
42577	[169818]	[1]	[ 5.]	['FB: Fighting Beat (2007)']
42577	[159471]	[1]	[ 5.]	"[""Evening's Civil Twilight in Empires of Tin (2008)""]"
42577	[160030]	[1]	[ 5.]	['Goliath and the Sins of Babylon (1963)']
42577	[159123]	[1]	[ 5.]	['Catching Out (2003)']
42577	[145620]	[1]	[ 5.]	['Samson and the Seven Miracles of the World (1961)']
42577	[159125]	[1]	[ 5.]	"[""Anybody's Son Will Do""]"
42577	[160028]	[1]	[ 5.]	['Colossus of the Arena (1962)']
